cell_line,filter_type,best_iou,mean_iou,best_config,best_improvement,mean_improvement,raw_iou,net_improvement
A172,homomorphic,0.8271895446271912,0.5892493349601291,homo_0.7_3.0,0.21055975321323872,0.005910304919066842,0.5833390300410622,0.24385051458612894
BT474,butterworth,0.5072808353512223,0.3150524050973012,bw2_0.05_0.40,0.18286358579646894,0.0009603146912758024,0.31409209040602537,0.1931887449451969
BV2,dog,0.5267078031092955,0.2528910647249794,dog_010_030,0.2630983599309572,0.062087302463984514,0.1908037622609949,0.3359040408483006
Huh7,homomorphic,0.6093673523516817,0.285143463098357,homo_0.3_1.5,0.004227437057988448,5.916688857489613e-06,0.2851375464094995,0.3242298059421822
MCF7,elliptic,0.6393718927763291,0.34050700121259353,ellip_0.02_0.30,0.12873531226829915,0.0029183144923353383,0.33758868672025827,0.30178320605607084
SHSY5Y,dog,0.7989913209868106,0.5228857821799204,dog_005_020,0.67367729216227,0.1974707328462762,0.32541504933364424,0.47357627165316635
SKOV3,gaussian,0.9652046823564765,0.6053319327644231,gauss_0.02_0.30,0.3603274390087069,-0.021649171891218337,0.6269811046556414,0.3382235777008351
SkBr3,dog,0.6303187483397098,0.34687471952118676,dog_005_020,0.4783502186619319,0.16372955386761645,0.18314516565357028,0.4471735826861395
