cell_line,raw_mean,raw_std,fixed_mean,fixed_std,adaptive_mean,adaptive_std,best_filter
A172,0.5833390300410622,0.19512279396336593,0.5451387897527379,0.18491660993672715,0.5900845535109273,0.19572507466209502,homomorphic
BT474,0.31409209040602537,0.10530368509691472,0.3133971437381464,0.1063144475685458,0.32372897759695646,0.08860387423223766,homomorphic
BV2,0.1908037622609949,0.12189511812532026,0.20702197146308618,0.164261886661214,0.3056564930086026,0.0566644489384593,dog
Huh7,0.2851375464094995,0.11822227836078826,0.2849544485273199,0.11806295813669476,0.28510532004630157,0.11805290858040886,homomorphic
MCF7,0.3375886867202582,0.1655591865265384,0.2881393190991432,0.158570316134012,0.34315956009544774,0.16570004142615025,homomorphic
SHSY5Y,0.32541504933364424,0.221733912543145,0.14310605374776855,0.07004262108160311,0.5551995649650285,0.21204197751333997,dog
SKOV3,0.6269811046556416,0.21473007418056086,0.6275655181889577,0.28679891642422806,0.6855379433135067,0.2364098972272058,homomorphic
SkBr3,0.18314516565357028,0.052644843883176445,0.1889602345350892,0.02015357935014836,0.35189279604932094,0.13967924238798207,dog
