Cell Line,Precision,Recall,F1-Score,Support
0,0.6470588235294118,0.8201754385964912,0.723404255319149,456.0
1,0.7630331753554502,0.6388888888888888,0.6954643628509719,504.0
2,0.9676724137931034,0.9846491228070176,0.9760869565217392,456.0
3,0.7897574123989218,0.7325,0.7600518806744487,400.0
4,0.8256029684601113,0.8076225045372051,0.8165137614678899,551.0
5,0.9242144177449167,0.946969696969697,0.9354536950420954,528.0
6,0.6497695852534562,0.4638157894736842,0.5412667946257198,304.0
7,0.8773109243697479,0.9886363636363636,0.929652715939448,528.0
